id;material_type;material_subtype;color_code;color_name;brand;weight_advertised;weight_core;weight_core2;weight_new;weight_current;weight_left;weight_used;note;tag_id;date_added
;PLA ;Basic;#FFFFFF ;Jade White;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#F7E6DE;Beige;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#D1D3D5;Light Gray;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#A6A9AA;Silver;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#8E9089;Gray;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#545454;Dark Gray;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#5B6579;Blue Gray;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#F4EE2A;Yellow;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#FEC600;Sunflower Yellow;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#E4BD68;Gold;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#FF9016;Pumpkin Orange;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#FF6A13;Orange;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#BECF00;Bright Green;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#00AE42;Bambu Green;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#3F8E43;Mistletoe Green;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#F55A74;Pink;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#F5547C;Hot Pink;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#EC008C;Magenta;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#C12E1F;Red;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#9D2235;Maroon Red;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#5E43B7;Purple;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#482960;Indigo Purple;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#00B1B7;Turquoise;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#0086D6;Cyan;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#0056B8;Cobalt blue;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#0A2989;Blue;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#9D432C;Brown;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#847D48;Bronze;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#6F5034;Cocoa Brown;Bambu Labs;;;;;;;;;;
;PLA ;Basic;#000000;Black;Bambu Labs;;;;;;;;;;
;PLA;Matte;#FFFFFF;Ivory White;Bambu Labs;;;;;;;;;;
;PLA;Matte;#D3B7A7;Latte Brown;Bambu Labs;;;;;;;;;;
;PLA;Matte;#E8DBB7;Desert Tan;Bambu Labs;;;;;;;;;;
;PLA;Matte;#9B9EA0;Ash Gray;Bambu Labs;;;;;;;;;;
;PLA;Matte;#AE96D4;Lilac Purple;Bambu Labs;;;;;;;;;;
;PLA;Matte;#E8AFCF;Sakura Pink;Bambu Labs;;;;;;;;;;
;PLA;Matte;#F99963;Mandarin Orange;Bambu Labs;;;;;;;;;;
;PLA;Matte;#F7D959;Lemon Yellow;Bambu Labs;;;;;;;;;;
;PLA;Matte;#DE4343;Scarlet Red;Bambu Labs;;;;;;;;;;
;PLA;Matte;#BB3D43;Dark Red;Bambu Labs;;;;;;;;;;
;PLA;Matte;#7D6556;Dark Brown;Bambu Labs;;;;;;;;;;
;PLA;Matte;#68724D;Dark Green;Bambu Labs;;;;;;;;;;
