material,filament_info,temp_min,temp_high
ABS,GFB99,240,280
ABS-GF,GFB50,240,280
ABS-S,GFS06,240,270
ASA,GFB98,240,280
ASA-AERO,GFB02,240,280
ASA-CF,GFB51,240,280
BVOH,GFS97,190,240
EVA,GFR99,190,240
HIPS,GFS98,220,270
PA,GFN99,260,300
PA-CF,GFN98,260,300
PA-GF,GFN08,260,300
PA-S,GFS01,260,300
PA6-CF,GFN05,260,300
PC,GFC99,260,290
PCTG,GFG97,220,260
PE,GFP99,190,240
PE-CF,GFP98,190,240
PET-CF,GFT01,220,260
PETG,GFG99,220,260
PETG-CF,GFG98,220,260
PHA,GFR98,190,240
PLA,GFL99,190,240
PLA-AERO,GFA11,190,240
PLA-CF,GFL98,190,240
PLA-S,GFS00,190,240
PP,GFP97,220,250
PP-CF,GFP96,220,250
PP-GF,GFP95,220,250
PPA-CF,GFN97,280,320
PPA-GF,GFN96,280,320
PPS,GFT97,300,340
PPS-CF,GFT98,300,340
PVA,GFS99,190,240
TPU,GFU99,200,250
TPU-AMS,GFU98,200,250
